[2026-03-18 12:33:07:567] 共享HUMMAP映射名：box
[2026-03-18 12:33:10:610] 加载新版地图14字节: .\Map\D3804_2.map(60/60)
[2026-03-18 12:33:10:630] 加载996专属地图成功: .\Map\xtc.map(270/270)
[2026-03-18 12:33:10:636] 加载新版地图14字节: .\Map\q004.map(30/30)
[2026-03-18 12:33:10:643] 加载新版地图14字节: .\Map\DQ0_003.map(160/160)
[2026-03-18 12:33:10:661] 加载996专属地图成功: .\Map\03023.map(250/260)
[2026-03-18 12:33:10:669] 加载新版地图14字节: .\Map\n0150.map(32/34)
[2026-03-18 12:33:10:673] 加载996专属地图成功: .\Map\03023.map(250/260)
[2026-03-18 12:33:10:674] 加载新版地图14字节: .\Map\n0150.map(32/34)
[2026-03-18 12:33:10:689] 加载新版地图14字节: .\Map\D1206.map(100/100)
[2026-03-18 12:33:10:753] 加载新版地图14字节: .\Map\ID1_002.map(400/400)
[2026-03-18 12:33:10:753] 加载新版地图14字节: .\Map\D3804_2.map(60/60)
[2026-03-18 12:33:10:771] >>Onrun M2HEART
[2026-03-18 12:33:10:784] 加载996专属地图成功: .\Map\mwsl.map(74/82)
[2026-03-18 12:33:10:784] 加载996专属地图成功: .\Map\mwsl.map(74/82)
[2026-03-18 12:33:10:801] 加载996专属地图成功: .\Map\slwtzdt.map(48/50)
[2026-03-18 12:33:10:813] 加载996专属地图成功: .\Map\cmyt.map(130/150)
[2026-03-18 12:33:10:817] 加载996专属地图成功: .\Map\xtc.map(270/270)
[2026-03-18 12:33:10:834] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-03-18 12:33:10:847] 加载996专属地图成功: .\Map\tmxz.map(312/279)
[2026-03-18 12:33:10:850] 加载996专属地图成功: .\Map\cgzd.map(114/166)
[2026-03-18 12:33:10:860] 加载996专属地图成功: .\Map\dhzj.map(64/65)
[2026-03-18 12:33:10:876] 加载996专属地图成功: .\Map\hgsq.map(180/164)
[2026-03-18 12:33:10:886] 加载996专属地图成功: .\Map\xssl.map(186/162)
[2026-03-18 12:33:10:888] 加载996专属地图成功: .\Map\xssl.map(186/162)
[2026-03-18 12:33:10:889] 加载996专属地图成功: .\Map\xssl.map(186/162)
[2026-03-18 12:33:10:891] 加载996专属地图成功: .\Map\xssl.map(186/162)
[2026-03-18 12:33:10:898] 加载996专属地图成功: .\Map\wbmh.map(138/138)
[2026-03-18 12:33:10:924] 加载新版地图14字节: .\Map\ER62_Forest.map(400/400)
[2026-03-18 12:33:10:945] 加载新版地图14字节: .\Map\D422.map(400/400)
[2026-03-18 12:33:10:972] 加载新版地图14字节: .\Map\D713.map(400/400)
[2026-03-18 12:33:10:998] 加载新版地图14字节: .\Map\ED200931Evt_5.map(350/350)

[2026-03-18 12:33:11:026] 加载新版地图14字节: .\Map\ER63_Forest.map(400/400)
[2026-03-18 12:33:11:046] 加载新版地图14字节: .\Map\D20012.map(300/300)
[2026-03-18 12:33:11:059] 加载996专属地图成功: .\Map\mjrk.map(154/156)
[2026-03-18 12:33:11:061] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-03-18 12:33:11:063] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-03-18 12:33:11:086] 加载新版地图14字节: .\Map\GhFuben20.map(400/400)
[2026-03-18 12:33:11:111] 加载新版地图14字节: .\Map\D30042.map(350/350)
[2026-03-18 12:33:11:137] 加载新版地图14字节: .\Map\GM_020.map(400/400)
[2026-03-18 12:33:11:155] 加载新版地图14字节: .\Map\EZ025.map(250/250)
[2026-03-18 12:33:11:168] 加载新版地图14字节: .\Map\ID8_010.map(150/150)
[2026-03-18 12:33:11:199] 加载新版地图14字节: .\Map\ID9_00.map(400/400)
[2026-03-18 12:33:11:216] 加载新版地图14字节: .\Map\ZD203.map(350/350)
[2026-03-18 12:33:11:233] 加载新版地图14字节: .\Map\ZD202.map(350/350)
[2026-03-18 12:33:11:258] 加载新版地图14字节: .\Map\ZD1101.map(300/300)
[2026-03-18 12:33:11:261] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-03-18 12:33:11:264] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-03-18 12:33:11:292] 加载新版地图14字节: .\Map\D3703.map(400/400)
[2026-03-18 12:33:11:311] 加载新版地图14字节: .\Map\D3802_S3.map(350/350)
[2026-03-18 12:33:11:328] 加载新版地图14字节: .\Map\D5000.map(100/100)
[2026-03-18 12:33:11:338] 加载新版地图14字节: .\Map\D5073.map(100/100)
[2026-03-18 12:33:11:353] 加载新版地图14字节: .\Map\D11032.map(100/100)
[2026-03-18 12:33:11:368] 加载新版地图14字节: .\Map\14.map(200/200)
[2026-03-18 12:33:11:400] 加载新版地图14字节: .\Map\D4307_S2.map(300/600)
[2026-03-18 12:33:11:428] 加载新版地图14字节: .\Map\D4102.map(200/200)
[2026-03-18 12:33:11:439] 加载新版地图14字节: .\Map\D4308.map(150/150)
[2026-03-18 12:33:11:445] 加载996专属地图成功: .\Map\xlgm.map(170/160)
[2026-03-18 12:33:11:457] 加载996专属地图成功: .\Map\yyxy.map(150/204)
[2026-03-18 12:33:11:482] 加载新版地图14字节: .\Map\12.map(400/400)
[2026-03-18 12:33:11:507] 加载新版地图14字节: .\Map\D1421.map(400/400)
[2026-03-18 12:33:11:514] 加载996专属地图成功: .\Map\sg169.map(70/64)
[2026-03-18 12:33:11:531] 加载新版地图14字节: .\Map\D2205.map(70/70)
[2026-03-18 12:33:11:531] 加载新版地图14字节: .\Map\D5073.map(100/100)
[2026-03-18 12:33:11:548] 加载新版地图14字节: .\Map\ID7_003.map(300/300)
[2026-03-18 12:33:11:602] 加载新版地图14字节: .\Map\E15.map(600/700)
[2026-03-18 12:33:11:607] 加载新版地图14字节: .\Map\14.map(200/200)
[2026-03-18 12:33:11:622] 加载996专属地图成功: .\Map\tyzj.map(80/80)
[2026-03-18 12:33:11:627] 加载996专属地图成功: .\Map\tqzj.map(80/80)
[2026-03-18 12:33:11:636] 加载996专属地图成功: .\Map\dzsj.map(167/167)
[2026-03-18 12:33:11:650] 加载996专属地图成功: .\Map\yscl.map(166/144)
[2026-03-18 12:33:11:663] 加载996专属地图成功: .\Map\dwdlzc.map(160/133)
[2026-03-18 12:33:11:671] 加载996专属地图成功: .\Map\zjc.map(80/80)
[2026-03-18 12:33:11:681] 加载新版地图14字节: .\Map\Mota_Zj_03.map(150/200)
[2026-03-18 12:33:11:699] 加载996专属地图成功: .\Map\4dlzc.map(128/128)
[2026-03-18 12:33:11:715] 加载新版地图14字节: .\Map\TrainField_06.map(90/90)
[2026-03-18 12:33:11:761] 加载新版地图14字节: .\Map\ER61_Forest.map(400/500)
[2026-03-18 12:33:11:780] 加载996专属地图成功: .\Map\egdl1.map(166/154)
[2026-03-18 12:33:11:791] 加载996专属地图成功: .\Map\mjsc.map(167/152)
[2026-03-18 12:33:11:792] 加载新版地图14字节: .\Map\D2900.map(100/150)
[2026-03-18 12:33:11:798] 加载新版地图14字节: .\Map\D2907.map(86/86)
[2026-03-18 12:33:11:813] 加载新版地图14字节: .\Map\ID8_004.map(300/300)
[2026-03-18 12:33:11:861] 加载996专属地图成功: .\Map\ttyj.map(120/180)
[2026-03-18 12:33:11:863] 加载996专属地图成功: .\Map\egdl4.map(126/112)
[2026-03-18 12:33:11:876] 加载996专属地图成功: .\Map\bjzc.map(81/121)
[2026-03-18 12:33:11:877] 加载996专属地图成功: .\Map\cgzd.map(114/166)
[2026-03-18 12:33:11:878] 加载新版地图14字节: .\Map\ER61_Forest.map(400/500)
[2026-03-18 12:33:11:911] 加载新版地图14字节: .\Map\ER71_Raider.map(400/400)
[2026-03-18 12:33:11:928] 加载996专属地图成功: .\Map\qcdl.map(213/219)
[2026-03-18 12:33:11:952] 加载新版地图14字节: .\Map\ER51_Ice.map(300/300)
[2026-03-18 12:33:11:953] 加载新版地图14字节: .\Map\001.map(108/118)
[2026-03-18 12:33:11:972] 加载996专属地图成功: .\Map\sdlzc.map(134/142)
[2026-03-18 12:33:11:989] 加载996专属地图成功: .\Map\gzdj.map(115/114)
[2026-03-18 12:33:11:997] 加载996专属地图成功: .\Map\tbsl.map(83/80)
[2026-03-18 12:33:11:998] 加载996专属地图成功: .\Map\srsjq.map(74/88)
[2026-03-18 12:33:12:007] 加载996专属地图成功: .\Map\sgzc.map(130/150)
[2026-03-18 12:33:12:008] 加载996专属地图成功: .\Map\sj.map(94/94)
[2026-03-18 12:33:12:009] 加载996专属地图成功: .\Map\fxsjq.map(64/76)
[2026-03-18 12:33:12:017] 加载996专属地图成功: .\Map\yinzlj.map(136/124)
[2026-03-18 12:33:12:028] 加载996专属地图成功: .\Map\xwyz.map(104/104)
[2026-03-18 12:33:12:037] 加载新版地图14字节: .\Map\ID8_007.map(250/250)
[2026-03-18 12:33:12:053] 加载新版地图14字节: .\Map\PanyeShiKuPTFB02.map(200/200)
[2026-03-18 12:33:12:071] 加载新版地图14字节: .\Map\QTD2304_4Z.map(300/300)
[2026-03-18 12:33:12:083] 加载新版地图14字节: .\Map\WomaDYFb00.map(100/100)
[2026-03-18 12:33:12:085] 加载996专属地图成功: .\Map\4dlzc.map(128/128)
[2026-03-18 12:33:12:106] 加载新版地图14字节: .\Map\XS01.map(250/250)
[2026-03-18 12:33:12:124] 加载新版地图14字节: .\Map\YGShiwang01.map(300/300)
[2026-03-18 12:33:12:152] 加载新版地图14字节: .\Map\ZD1103.map(300/300)
[2026-03-18 12:33:12:154] 加载新版地图14字节: .\Map\D3802_S3.map(350/350)
[2026-03-18 12:33:12:171] 加载996专属地图成功: .\Map\cymj.map(42/50)
[2026-03-18 12:33:12:185] 加载996专属地图成功: .\Map\dzyj.map(117/135)
[2026-03-18 12:33:12:200] 加载996专属地图成功: .\Map\dldlzc.map(110/98)
[2026-03-18 12:33:12:260] 加载新版地图14字节: .\Map\D3400_1.map(600/600)
[2026-03-18 12:33:12:267] 加载996专属地图成功: .\Map\yzlj.map(104/106)
[2026-03-18 12:33:12:274] 加载996专属地图成功: .\Map\tzlj.map(145/208)
[2026-03-18 12:33:12:277] >>Onrun M2HEART
[2026-03-18 12:33:12:277] 加载996专属地图成功: .\Map\tzlj.map(145/208)
[2026-03-18 12:33:12:277] 加载新版地图14字节: .\Map\D30042.map(350/350)
[2026-03-18 12:33:12:284] 加载996专属地图成功: .\Map\dsdlzc.map(143/159)
[2026-03-18 12:33:12:285] 加载新版地图14字节: .\Map\ID9_00.map(400/400)
[2026-03-18 12:33:12:289] 加载996专属地图成功: .\Map\egdl1.map(166/154)
[2026-03-18 12:33:12:300] 加载996专属地图成功: .\Map\xlzd.map(167/182)
[2026-03-18 12:33:12:318] 加载新版地图14字节: .\Map\D2902.map(300/300)
[2026-03-18 12:33:12:342] 加载新版地图14字节: .\Map\D2901.map(300/300)
[2026-03-18 12:33:12:357] 加载新版地图14字节: .\Map\D2904.map(300/300)
[2026-03-18 12:33:12:360] 加载新版地图14字节: .\Map\ZD1103.map(300/300)
[2026-03-18 12:33:12:376] 加载新版地图14字节: .\Map\D22021.map(300/300)
[2026-03-18 12:33:12:379] 加载新版地图14字节: .\Map\D30042.map(350/350)
[2026-03-18 12:33:12:381] 加载996专属地图成功: .\Map\tzlj.map(145/208)
[2026-03-18 12:33:12:381] 加载新版地图14字节: .\Map\TrainField_06.map(90/90)
[2026-03-18 12:33:12:382] 加载996专属地图成功: .\Map\srsjq.map(74/88)
[2026-03-18 12:33:12:466] 加载新版地图14字节: .\Map\D009.map(800/800)
[2026-03-18 12:33:12:495] 加载新版地图14字节: .\Map\D005.map(300/300)
[2026-03-18 12:33:12:515] 加载新版地图14字节: .\Map\D3501.map(300/300)
[2026-03-18 12:33:12:546] 加载新版地图14字节: .\Map\123.map(400/400)
[2026-03-18 12:33:12:560] 加载新版地图14字节: .\Map\TrainField_01.map(200/200)
[2026-03-18 12:33:12:577] 加载996专属地图成功: .\Map\kmzx.map(137/187)
[2026-03-18 12:33:12:582] 加载996专属地图成功: .\Map\tzj.map(167/121)
[2026-03-18 12:33:12:586] 加载新版地图14字节: .\Map\D009.map(800/800)
[2026-03-18 12:33:12:594] 加载新版地图14字节: .\Map\D1012.map(100/100)
[2026-03-18 12:33:12:618] 加载新版地图14字节: .\Map\ID7_002.map(300/300)
[2026-03-18 12:33:12:639] 加载新版地图14字节: .\Map\ID7_004.map(150/150)
[2026-03-18 12:33:12:652] 加载新版地图14字节: .\Map\ID8_005.map(150/150)
[2026-03-18 12:33:12:666] 加载新版地图14字节: .\Map\ID8_001.map(150/150)
[2026-03-18 12:33:12:670] 加载新版地图14字节: .\Map\ER43_Fire.map(300/300)
[2026-03-18 12:33:12:707] 加载新版地图14字节: .\Map\EV_MysticDun21.map(400/400)
[2026-03-18 12:33:12:714] 加载996专属地图成功: .\Map\mjmz.map(167/131)
[2026-03-18 12:33:12:716] 加载996专属地图成功: .\Map\hgsq.map(180/164)
[2026-03-18 12:33:12:718] 加载996专属地图成功: .\Map\mjsc.map(167/152)
[2026-03-18 12:33:12:719] 加载996专属地图成功: .\Map\mjrk.map(154/156)
[2026-03-18 12:33:12:734] 加载996专属地图成功: .\Map\egdl6.map(113/101)
[2026-03-18 12:33:12:735] 加载新版地图14字节: .\Map\at94.map(94/120)
[2026-03-18 12:33:12:736] 加载996专属地图成功: .\Map\fsdc1.map(76/114)
[2026-03-18 12:33:12:737] 加载新版地图14字节: .\Map\ID7_003.map(300/300)
[2026-03-18 12:33:12:746] 加载新版地图14字节: .\Map\ID7_000.map(100/100)
[2026-03-18 12:33:12:764] 加载新版地图14字节: .\Map\ID6_001.map(350/350)
[2026-03-18 12:33:12:781] 加载996专属地图成功: .\Map\hgmj.map(190/144)
[2026-03-18 12:33:12:789] 加载996专属地图成功: .\Map\hgsx.map(121/102)
[2026-03-18 12:33:12:802] 加载996专属地图成功: .\Map\hgmz.map(139/117)
[2026-03-18 12:33:12:804] 加载996专属地图成功: .\Map\hgjl.map(118/100)
[2026-03-18 12:33:12:813] 加载996专属地图成功: .\Map\gxm.map(122/152)
[2026-03-18 12:33:12:814] 加载996专属地图成功: .\Map\gzdj.map(115/114)
[2026-03-18 12:33:12:815] 加载996专属地图成功: .\Map\fxsjq.map(64/76)
[2026-03-18 12:33:12:830] 加载新版地图14字节: .\Map\D2101.map(300/300)
[2026-03-18 12:33:12:848] 加载新版地图14字节: .\Map\D2104.map(300/300)
[2026-03-18 12:33:12:852] 加载新版地图14字节: .\Map\D2102.map(300/300)
[2026-03-18 12:33:12:898] 加载新版地图14字节: .\Map\D22032.map(300/300)
[2026-03-18 12:33:12:899] 加载新版地图14字节: .\Map\D22021.map(300/300)
[2026-03-18 12:33:12:900] 加载新版地图14字节: .\Map\D1206.map(100/100)
[2026-03-18 12:33:12:902] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-03-18 12:33:12:905] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-03-18 12:33:12:906] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-03-18 12:33:12:909] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-03-18 12:33:12:912] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-03-18 12:33:12:914] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-03-18 12:33:12:917] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-03-18 12:33:12:919] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-03-18 12:33:12:921] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-03-18 12:33:12:924] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-03-18 12:33:12:926] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-03-18 12:33:12:928] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-03-18 12:33:12:932] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-03-18 12:33:12:934] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-03-18 12:33:12:936] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-03-18 12:33:12:938] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-03-18 12:33:12:942] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-03-18 12:33:12:943] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-03-18 12:33:12:945] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-03-18 12:33:12:948] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-03-18 12:33:12:951] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-03-18 12:33:12:952] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-03-18 12:33:12:954] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-03-18 12:33:12:957] 加载996专属地图成功: .\Map\new_44.map(208/210)
[2026-03-18 12:33:12:970] 加载新版地图14字节: .\Map\ID6_Wait.map(70/70)
[2026-03-18 12:33:12:971] 加载996专属地图成功: .\Map\shsd.map(100/112)
[2026-03-18 12:33:12:980] 加载996专属地图成功: .\Map\xbsl.map(60/64)
[2026-03-18 12:33:12:987] 加载996专属地图成功: .\Map\xysjq.map(48/48)
[2026-03-18 12:33:13:795] >>Onrun M2HEART
[2026-03-18 12:33:15:314] >>Onrun M2HEART

[2026-03-18 12:33:16:834] >>Onrun M2HEART
[2026-03-18 12:33:18:346] >>Onrun M2HEART
[2026-03-18 12:33:19:859] >>Onrun M2HEART

[2026-03-18 12:33:21:378] >>Onrun M2HEART
[2026-03-18 12:33:22:887] >>Onrun M2HEART
[2026-03-18 12:33:24:400] >>Onrun M2HEART
[2026-03-18 12:33:25:919] >>Onrun M2HEART

[2026-03-18 12:33:27:439] >>Onrun M2HEART
[2026-03-18 12:33:28:957] >>Onrun M2HEART
[2026-03-18 12:33:30:468] >>Onrun M2HEART

[2026-03-18 12:33:31:980] >>Onrun M2HEART
[2026-03-18 12:33:33:495] >>Onrun M2HEART
[2026-03-18 12:33:35:011] >>Onrun M2HEART

[2026-03-18 12:33:36:526] >>Onrun M2HEART
[2026-03-18 12:33:38:055] >>Onrun M2HEART
[2026-03-18 12:33:39:558] >>Onrun M2HEART

[2026-03-18 12:33:41:086] >>Onrun M2HEART
[2026-03-18 12:33:42:588] >>Onrun M2HEART
[2026-03-18 12:33:43:582] GM_OPEN nSocket 0 nHandle 140686384496672
[2026-03-18 12:33:43:582] >>Login: 1 
[2026-03-18 12:33:43:582] >>LoginInfo: *#qccclllll/玩家名字/30000000001773555302000018517/1/2/0/1/0/1/1/0/1
[2026-03-18 12:33:43:582] >>Login: 2 qccclllll, sessionID:1
[2026-03-18 12:33:43:582] >>Login: 3 qccclllll
